address,ins,outs,inAmount,outAmount,timeBetween,isContract,sybil
0xdac17f958d2ee523a2206206994597c13d831ec7,0,2,0,0,1143,1,1
0xbb96d92c7f873259a1e25e0103b1b54562178eea,15,1,0.029,0.03,725295,0,1
0x6ad3dac99c9a4a480748c566ce7b3503506e3d71,0,1,0,0.18,0,0,1
0x80fb784b7ed66730e8b1dbd9820afd29931aab03,0,1,0,0,0,1,0
0x9008d19f58aabd9ed0d60971565aa8510560ab41,0,6,0,0,542,0,0
0x9008d19f58aabd9ed0d60971565aa8510560ab41,0,6,0,0,458,0,0
0x3666f603cc164936c1b87e207f36beba4ac5f18a,0,1,0,0,0,0,0
0xabea9132b05a70803a4e85094fd0e1800777fbef,0,2,0,0.49,8462,1,0
0xab233e67eed80d103f051126ad6d8c93d9f521a2,3,0,0.495,0,350883,0,1
0xa4d8e1e1c27fff4ff68508ee3de46cec9ef01778,0,1,0,0.922,0,0,0
0x49ee65fc24fb0157cc47948f332cab4ded046f54,0,1,0,0,0,0,1
0x7d655c57f71464b6f83811c55d84009cd9f5221c,0,10,0,0.005,5439,1,1
0xecbbae02f5d24740f9da6ca9e564fd62a3190f74,0,1,0,0.01,0,0,1
0x9008d19f58aabd9ed0d60971565aa8510560ab41,0,6,0,0,463,0,0
0x75cda57917e9f73705dc8bcf8a6b2f99adbdc5a5,0,1,0,0,0,0,1
0xa9517b2e61a57350d6555665292dbc632c76adfe,0,1,0,0,0,0,0
0x68b3465833fb72a70ecdf485e0e4c7bd8665fc45,0,4,0,0.001,600959,1,1
0xa7efae728d2936e78bda97dc267687568dd593f3,3,0,51.59,0,1149502,0,0
0x92e130d5ed0f14199edfa050071116ca60e99aa5,0,1,0,0,0,0,1
0x4aa42145aa6ebf72e164c9bbc74fbd3788045016,0,2,0,0,2339830,1,0
0xe65db7179d70daea99a0547ee732087eab0fffbc,0,1,0,0,0,0,1
0xfac5736c90b2862889b51826719125dd77b4827f,0,1,0,0,0,0,1
0x10fb0f8860c11cccdf85f2f56e3b8e1ddeb2ba3f,0,1,0,0,0,0,1
0x1e06b4e9309f5e664b19a5179966ba5dbd903bec,0,1,0,0,0,0,1
0x500c5c9fe70e5820ec829354620f1c070224917d,0,1,0,0.02,0,0,1
0xa354f35829ae975e850e23e9615b11da1b3dc4de,0,1,0,0,0,1,1
0x5faa989af96af85384b8a938c2ede4a7378d9875,0,1,0,0,0,0,1
0x5a98fcbea516cf06857215779fd812ca3bef1b32,0,1,0,0,0,1,1
0xba4cfe5741b357fa371b506e5db0774abfecf8fc,0,1,0,0,0,1,0
0x7a250d5630b4cf539739df2c5dacb4c659f2488d,0,18,0,5.446,464907,1,0
0x3f0a9e4d1b545b0909273d935a675d7e8bed6ec4,4,1,0.344,0.1,4128440,0,1
